
11:01:49.131 [warning] application :tidewave is not starting because Mix is not running
# commit=9725f0733746356325963b250c273c74aa35bda6 elixir=1.19.5 otp=28 schedulers=16
label,pass,repeat,case,n,preparation,execution,coordination,limit,concurrency,elapsed_us,waves,prepared,fan_in_prepared,max_prepared,facts,edges,mapped_entries,request_bytes,response_bytes,max_request_bytes,request_flat_words,max_context_words,retained_external_bytes,owner_peak_bytes,tree_peak_bytes,referenced_binary_peak_bytes,descendant_count,result_ok
foundation,timing,1,slow_first,128,eager,peer_tcp,legacy,64,8,122938,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,slow_first,128,eager,peer_tcp,legacy,64,8,121093,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,slow_first,128,eager,peer_tcp,legacy,64,8,121965,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,slow_first,512,eager,peer_tcp,legacy,64,8,234865,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,slow_first,512,eager,peer_tcp,legacy,64,8,226147,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,slow_first,512,eager,peer_tcp,legacy,64,8,230886,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,latency,128,eager,peer_tcp,legacy,64,8,164136,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,latency,128,eager,peer_tcp,legacy,64,8,159862,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,latency,128,eager,peer_tcp,legacy,64,8,162889,3,257,128,128,258,523,2,0,0,0,0,0,0,,,,,true
foundation,timing,1,latency,512,eager,peer_tcp,legacy,64,8,397302,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,2,latency,512,eager,peer_tcp,legacy,64,8,388012,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
foundation,timing,3,latency,512,eager,peer_tcp,legacy,64,8,393099,3,1025,512,512,1026,2059,2,0,0,0,0,0,0,,,,,true
